Poem ID,Corpus,Manual Annotation
1,C3P,unfixed (quatrain?)
2,C3P,unfixed
3,C3P,unfixed
4,C3P,sonet anglický
5,C3P,unfixed
6,C3P,unfixed
7,C3P,unfixed (quatrain?)
8,C3P,unfixed
9,C3P,unfixed
10,C3P,unfixed
11,C3P,unfixed (quatrain?)
12,C3P,unfixed (quatrain?)
13,C3P,unfixed (quatrain?)
14,C3P,unfixed
15,C3P,unfixed
16,C3P,sonnet
17,C3P,unfixed
18,C3P,unfixed (quatrain?)
19,C3P,unfixed
20,C3P,unfixed (quatrain?)
21,C3P,unfixed (quatrain?)
22,C3P,unfixed
23,C3P,unfixed
24,C3P,quatrain
25,C3P,sonnet
26,C3P,unfixed
27,C3P,unfixed
28,C3P,unfixed
29,C3P,unfixed
30,C3P,quatrain
