Poem ID,Corpus,Manual Annotation
1,CCV,quatrain/couplet
2,CCV,quatrain
3,CCV,quatrain
4,CCV,rondel
5,CCV,ballad
6,CCV,tercína
7,CCV,unfixed (quatrain?)
8,CCV,cinquain
9,CCV,quatrain
10,CCV,unfixed (quatrain?)
11,CCV,unfixed
12,CCV,alcaic stanza
13,CCV,quatrain
14,CCV,sonnet
15,CCV,quatrain (?)
16,CCV,unfixed
17,CCV,?
18,CCV,sonnet
19,CCV,ghazal (irregular)
20,CCV,Onegin stanza (irregular)
21,CCV,unfixed
22,CCV,unfixed
23,CCV,octet
24,CCV,ballad stanza
25,CCV,unfixed
26,CCV,triplet
27,CCV,sestet
28,CCV,sonnet
29,CCV,quintain (?)
30,CCV,sonnet
