Experiment,Accuracy,Macro_F1,Micro_F1,Weighted_F1
ABLATE_metrical_foot_count,0.9757551669316376,0.8555413946769977,0.9757551669316376,0.9773952753316905
ABLATE_metrical_foot,0.9773449920508744,0.8317103945154661,0.9773449920508744,0.9778326641549616
ABLATE_average_syllable_count,0.9725755166931638,0.8314595580153885,0.9725755166931638,0.9744259183698059
CATEGORICAL_ONLY,0.9765500794912559,0.8261747237845105,0.9765500794912559,0.9771071212256909
FULL_MODEL,0.9721780604133545,0.8125352773812873,0.9721780604133545,0.9739104715011947
ABLATE_total_syllables,0.9713831478537361,0.8101694909513422,0.9713831478537361,0.9733222955013817
ABLATE_line_count,0.9713831478537361,0.8101694909513422,0.9713831478537361,0.9733222955013817
ABLATE_rhyme_scheme,0.9602543720190779,0.7884765640797278,0.9602543720190779,0.9662887074442166
ABLATE_rhyme_scheme_per_stanza,0.958664546899841,0.7850206618237443,0.958664546899841,0.9644699276502796
ABLATE_stanza_scheme,0.8970588235294118,0.7128479479214906,0.8970588235294118,0.9061291701005899
NUMERIC_ONLY,0.2178060413354531,0.12950438437434234,0.2178060413354531,0.3178816151747709
