,precision,recall,f1-score,support
gazel,0.4358974358974359,0.85,0.576271186440678,20.0
hrdinský kuplet,0.7538461538461538,0.98,0.8521739130434782,50.0
limerik,1.0,1.0,1.0,2.0
rondel,1.0,0.7272727272727273,0.8421052631578947,11.0
sapfická strofa,0.6818181818181818,0.7894736842105263,0.7317073170731707,19.0
sonet,1.0,1.0,1.0,1135.0
sonet anglický,1.0,0.42857142857142855,0.6,7.0
stance,1.0,0.9574468085106383,0.9782608695652174,47.0
tercína,1.0,1.0,1.0,16.0
unfixed,0.9864521591871296,0.9636062861869313,0.9748953974895398,1209.0
accuracy,0.9757551669316376,0.9757551669316376,0.9757551669316376,0.9757551669316376
macro avg,0.8858013930748901,0.8696370934752252,0.8555413946769977,2516.0
weighted avg,0.9817112330373775,0.9757551669316376,0.9773952753316905,2516.0
