Experiment,Form,Precision,Recall,F1-Score,Support
FULL_MODEL,gazel,0.4473684210526316,0.85,0.5862068965517241,20.0
FULL_MODEL,hrdinský kuplet,0.8064516129032258,1.0,0.8928571428571429,50.0
FULL_MODEL,limerik,1.0,1.0,1.0,2.0
FULL_MODEL,rondel,1.0,0.8181818181818182,0.9,11.0
FULL_MODEL,sapfická strofa,0.48484848484848486,0.8421052631578947,0.6153846153846154,19.0
FULL_MODEL,sonet,1.0,1.0,1.0,1135.0
FULL_MODEL,sonet anglický,1.0,0.14285714285714285,0.25,7.0
FULL_MODEL,stance,0.8653846153846154,0.9574468085106383,0.9090909090909091,47.0
FULL_MODEL,tercína,1.0,1.0,1.0,16.0
FULL_MODEL,unfixed,0.9888698630136986,0.9553349875930521,0.9718132099284813,1209.0
ABLATE_line_count,gazel,0.4473684210526316,0.85,0.5862068965517241,20.0
ABLATE_line_count,hrdinský kuplet,0.8064516129032258,1.0,0.8928571428571429,50.0
ABLATE_line_count,limerik,1.0,1.0,1.0,2.0
ABLATE_line_count,rondel,1.0,0.8181818181818182,0.9,11.0
ABLATE_line_count,sapfická strofa,0.45714285714285713,0.8421052631578947,0.5925925925925926,19.0
ABLATE_line_count,sonet,1.0,1.0,1.0,1135.0
ABLATE_line_count,sonet anglický,1.0,0.14285714285714285,0.25,7.0
ABLATE_line_count,stance,0.8653846153846154,0.9574468085106383,0.9090909090909091,47.0
ABLATE_line_count,tercína,1.0,1.0,1.0,16.0
ABLATE_line_count,unfixed,0.9888507718696398,0.9536807278742763,0.9709473684210527,1209.0
ABLATE_total_syllables,gazel,0.4473684210526316,0.85,0.5862068965517241,20.0
ABLATE_total_syllables,hrdinský kuplet,0.8064516129032258,1.0,0.8928571428571429,50.0
ABLATE_total_syllables,limerik,1.0,1.0,1.0,2.0
ABLATE_total_syllables,rondel,1.0,0.8181818181818182,0.9,11.0
ABLATE_total_syllables,sapfická strofa,0.45714285714285713,0.8421052631578947,0.5925925925925926,19.0
ABLATE_total_syllables,sonet,1.0,1.0,1.0,1135.0
ABLATE_total_syllables,sonet anglický,1.0,0.14285714285714285,0.25,7.0
ABLATE_total_syllables,stance,0.8653846153846154,0.9574468085106383,0.9090909090909091,47.0
ABLATE_total_syllables,tercína,1.0,1.0,1.0,16.0
ABLATE_total_syllables,unfixed,0.9888507718696398,0.9536807278742763,0.9709473684210527,1209.0
ABLATE_average_syllable_count,gazel,0.47058823529411764,0.8,0.5925925925925926,20.0
ABLATE_average_syllable_count,hrdinský kuplet,0.8064516129032258,1.0,0.8928571428571429,50.0
ABLATE_average_syllable_count,limerik,1.0,1.0,1.0,2.0
ABLATE_average_syllable_count,rondel,1.0,0.8181818181818182,0.9,11.0
ABLATE_average_syllable_count,sapfická strofa,0.47058823529411764,0.8421052631578947,0.6037735849056604,19.0
ABLATE_average_syllable_count,sonet,1.0,1.0,1.0,1135.0
ABLATE_average_syllable_count,sonet anglický,1.0,0.2857142857142857,0.4444444444444444,7.0
ABLATE_average_syllable_count,stance,0.8653846153846154,0.9574468085106383,0.9090909090909091,47.0
ABLATE_average_syllable_count,tercína,1.0,1.0,1.0,16.0
ABLATE_average_syllable_count,unfixed,0.9880341880341881,0.9561621174524401,0.9718369062631358,1209.0
ABLATE_stanza_scheme,gazel,0.38095238095238093,0.8,0.5161290322580645,20.0
ABLATE_stanza_scheme,hrdinský kuplet,0.4943820224719101,0.88,0.6330935251798561,50.0
ABLATE_stanza_scheme,limerik,1.0,1.0,1.0,2.0
ABLATE_stanza_scheme,rondel,0.9,0.8181818181818182,0.8571428571428571,11.0
ABLATE_stanza_scheme,sapfická strofa,0.21621621621621623,0.8421052631578947,0.34408602150537637,19.0
ABLATE_stanza_scheme,sonet,0.9585296889726673,0.8960352422907489,0.9262295081967213,1135.0
ABLATE_stanza_scheme,sonet anglický,0.0,0.0,0.0,7.0
ABLATE_stanza_scheme,stance,0.9555555555555556,0.9148936170212766,0.9347826086956522,47.0
ABLATE_stanza_scheme,tercína,1.0,1.0,1.0,16.0
ABLATE_stanza_scheme,unfixed,0.929481733220051,0.9048800661703887,0.9170159262363788,1209.0
ABLATE_rhyme_scheme_per_stanza,gazel,0.4090909090909091,0.9,0.5625,20.0
ABLATE_rhyme_scheme_per_stanza,hrdinský kuplet,0.78125,1.0,0.8771929824561403,50.0
ABLATE_rhyme_scheme_per_stanza,limerik,0.5,1.0,0.6666666666666666,2.0
ABLATE_rhyme_scheme_per_stanza,rondel,0.6923076923076923,0.8181818181818182,0.75,11.0
ABLATE_rhyme_scheme_per_stanza,sapfická strofa,0.3018867924528302,0.8421052631578947,0.4444444444444444,19.0
ABLATE_rhyme_scheme_per_stanza,sonet,1.0,1.0,1.0,1135.0
ABLATE_rhyme_scheme_per_stanza,sonet anglický,1.0,0.5714285714285714,0.7272727272727273,7.0
ABLATE_rhyme_scheme_per_stanza,stance,0.7894736842105263,0.9574468085106383,0.8653846153846154,47.0
ABLATE_rhyme_scheme_per_stanza,tercína,1.0,1.0,1.0,16.0
ABLATE_rhyme_scheme_per_stanza,unfixed,0.9920071047957372,0.923904052936311,0.956745182012848,1209.0
ABLATE_rhyme_scheme,gazel,0.3829787234042553,0.9,0.5373134328358209,20.0
ABLATE_rhyme_scheme,hrdinský kuplet,0.8928571428571429,1.0,0.9433962264150944,50.0
ABLATE_rhyme_scheme,limerik,0.5,1.0,0.6666666666666666,2.0
ABLATE_rhyme_scheme,rondel,0.6923076923076923,0.8181818181818182,0.75,11.0
ABLATE_rhyme_scheme,sapfická strofa,0.3018867924528302,0.8421052631578947,0.4444444444444444,19.0
ABLATE_rhyme_scheme,sonet,1.0,1.0,1.0,1135.0
ABLATE_rhyme_scheme,sonet anglický,1.0,0.5714285714285714,0.7272727272727273,7.0
ABLATE_rhyme_scheme,stance,0.7758620689655172,0.9574468085106383,0.8571428571428571,47.0
ABLATE_rhyme_scheme,tercína,1.0,1.0,1.0,16.0
ABLATE_rhyme_scheme,unfixed,0.9920353982300885,0.9272125723738627,0.9585292860196665,1209.0
ABLATE_metrical_foot,gazel,0.5151515151515151,0.85,0.6415094339622641,20.0
ABLATE_metrical_foot,hrdinský kuplet,0.78125,1.0,0.8771929824561403,50.0
ABLATE_metrical_foot,limerik,1.0,1.0,1.0,2.0
ABLATE_metrical_foot,rondel,1.0,0.8181818181818182,0.9,11.0
ABLATE_metrical_foot,sapfická strofa,0.6956521739130435,0.8421052631578947,0.7619047619047619,19.0
ABLATE_metrical_foot,sonet,1.0,1.0,1.0,1135.0
ABLATE_metrical_foot,sonet anglický,1.0,0.14285714285714285,0.25,7.0
ABLATE_metrical_foot,stance,0.8653846153846154,0.9574468085106383,0.9090909090909091,47.0
ABLATE_metrical_foot,tercína,1.0,1.0,1.0,16.0
ABLATE_metrical_foot,unfixed,0.9889923793395428,0.9660876757650951,0.9774058577405857,1209.0
ABLATE_metrical_foot_count,gazel,0.4358974358974359,0.85,0.576271186440678,20.0
ABLATE_metrical_foot_count,hrdinský kuplet,0.7538461538461538,0.98,0.8521739130434782,50.0
ABLATE_metrical_foot_count,limerik,1.0,1.0,1.0,2.0
ABLATE_metrical_foot_count,rondel,1.0,0.7272727272727273,0.8421052631578947,11.0
ABLATE_metrical_foot_count,sapfická strofa,0.6818181818181818,0.7894736842105263,0.7317073170731707,19.0
ABLATE_metrical_foot_count,sonet,1.0,1.0,1.0,1135.0
ABLATE_metrical_foot_count,sonet anglický,1.0,0.42857142857142855,0.6,7.0
ABLATE_metrical_foot_count,stance,1.0,0.9574468085106383,0.9782608695652174,47.0
ABLATE_metrical_foot_count,tercína,1.0,1.0,1.0,16.0
ABLATE_metrical_foot_count,unfixed,0.9864521591871296,0.9636062861869313,0.9748953974895398,1209.0
NUMERIC_ONLY,gazel,0.029411764705882353,0.35,0.05426356589147287,20.0
NUMERIC_ONLY,hrdinský kuplet,0.13636363636363635,0.12,0.1276595744680851,50.0
NUMERIC_ONLY,limerik,0.01092896174863388,1.0,0.021621621621621623,2.0
