Experiment,Accuracy,Macro_F1,Micro_F1,Weighted_F1
WITHOUT_NUMERIC,0.9884737678855325,0.849362197839436,0.9884737678855325,0.9871837505782944
ABLATE_average_syllable_count,0.9872813990461049,0.8451274453667963,0.9872813990461049,0.9860410239565893
ABLATE_line_count,0.985691573926868,0.8362251555362956,0.985691573926868,0.9846606112594588
ABLATE_total_syllables,0.985691573926868,0.8362251555362956,0.985691573926868,0.9846606112594588
ABLATE_normalized_title,0.9841017488076311,0.8341589083544131,0.9841017488076311,0.9833064324635453
FULL_MODEL,0.9848966613672496,0.8315967134389739,0.9848966613672496,0.9839005117319685
ABLATE_metrical_foot,0.983704292527822,0.8286428651162728,0.983704292527822,0.98282155764106
CATEGORICAL_ONLY,0.9765500794912559,0.8261747237845105,0.9765500794912559,0.9771071212256909
ABLATE_normalized_text,0.9833068362480127,0.821040560744915,0.9833068362480127,0.9824569551651114
ABLATE_author,0.983704292527822,0.8172625013475618,0.983704292527822,0.9827272833143824
ABLATE_metrical_foot_count,0.9789348171701113,0.816289411489155,0.9789348171701113,0.9786765932715742
ABLATE_normalized_collection,0.9813195548489666,0.8131072057013606,0.9813195548489666,0.9807681207945711
WITHOUT_TEXT,0.9721780604133545,0.8125352773812873,0.9721780604133545,0.9739104715011947
ABLATE_rhyme_scheme,0.9817170111287759,0.7962547960684596,0.9817170111287759,0.9810232570470409
ABLATE_stanza_scheme,0.9224960254372019,0.7902217397031522,0.9224960254372019,0.923273057050934
ABLATE_rhyme_scheme_per_stanza,0.9797297297297297,0.787765261294328,0.9797297297297297,0.9791298896683458
WITHOUT_CATEGORICAL,0.7599364069952306,0.43003511422163243,0.7599364069952306,0.7856706899165651
TEXT_ONLY,0.7400635930047694,0.4129546338654123,0.7400635930047694,0.7623784694503235
NUMERIC_ONLY,0.2178060413354531,0.12950438437434234,0.2178060413354531,0.3178816151747709
