Experiment,Accuracy,Macro_F1,Micro_F1,Weighted_F1
WITHOUT_NUMERIC,0.9924483306836248,0.9540974259825583,0.9924483306836248,0.9924286748063812
ABLATE_average_syllable_count,0.9908585055643879,0.948439325644977,0.9908585055643879,0.9909706333818268
FULL_MODEL,0.9904610492845787,0.9451978609643381,0.9904610492845787,0.9906161218479881
ABLATE_total_syllables,0.9904610492845787,0.9451978609643381,0.9904610492845787,0.9906161218479881
ABLATE_line_count,0.9904610492845787,0.9451978609643381,0.9904610492845787,0.9906161218479881
ABLATE_normalized_title,0.9896661367249603,0.9421789723982492,0.9896661367249603,0.9898667945329958
ABLATE_normalized_text,0.989268680445151,0.9404887511240455,0.989268680445151,0.9894507772528186
ABLATE_metrical_foot,0.9888712241653418,0.9393215194632945,0.9888712241653418,0.9889904581650556
ABLATE_author,0.9896661367249603,0.9353843939487596,0.9896661367249603,0.9895907150991051
ABLATE_metrical_foot_count,0.9844992050874404,0.9296143238274827,0.9844992050874404,0.9851163211198349
ABLATE_normalized_collection,0.9860890302066773,0.9216225757460343,0.9860890302066773,0.9864924660734284
CATEGORICAL_ONLY,0.9829093799682035,0.9160157394068017,0.9829093799682035,0.9838361051890129
WITHOUT_TEXT,0.9817170111287759,0.9118543082637529,0.9817170111287759,0.9829143711032662
ABLATE_rhyme_scheme,0.9872813990461049,0.9068750861621293,0.9872813990461049,0.9875888574970642
ABLATE_rhyme_scheme_per_stanza,0.9868839427662957,0.9043803189877494,0.9868839427662957,0.9870784578743053
ABLATE_stanza_scheme,0.9582670906200318,0.852802987983955,0.9582670906200318,0.9582518336708543
WITHOUT_CATEGORICAL,0.8251192368839427,0.48953763156604035,0.8251192368839427,0.8384956248693743
TEXT_ONLY,0.8048489666136724,0.4631630907523235,0.8048489666136724,0.8212358113747207
NUMERIC_ONLY,0.25,0.15788017158481799,0.25,0.35991695121691936
