,precision,recall,f1-score,support
gazel,0.8947368421052632,0.85,0.8717948717948718,20.0
hrdinský kuplet,0.8448275862068966,0.98,0.9074074074074074,50.0
limerik,1.0,1.0,1.0,2.0
rondel,1.0,0.7272727272727273,0.8421052631578947,11.0
sapfická strofa,0.8260869565217391,1.0,0.9047619047619048,19.0
sonet,1.0,1.0,1.0,1135.0
sonet anglický,0.0,0.0,0.0,7.0
stance,0.9787234042553191,0.9787234042553191,0.9787234042553191,47.0
tercína,1.0,1.0,1.0,16.0
unfixed,0.9892384105960265,0.9884201819685691,0.9888291270169631,1209.0
accuracy,0.9884737678855325,0.9884737678855325,0.9884737678855325,0.9884737678855325
macro avg,0.8533613199685245,0.8524416313496616,0.849362197839436,2516.0
weighted avg,0.9864153444900473,0.9884737678855325,0.9871837505782944,2516.0
