,precision,recall,f1-score,support
gazel,0.8947368421052632,0.85,0.8717948717948718,20.0
hrdinský kuplet,0.9245283018867925,0.98,0.9514563106796117,50.0
limerik,1.0,1.0,1.0,2.0
rondel,1.0,0.7272727272727273,0.8421052631578947,11.0
sapfická strofa,0.8260869565217391,1.0,0.9047619047619048,19.0
sonet,1.0,1.0,1.0,1135.0
sonet anglický,1.0,1.0,1.0,7.0
stance,0.9787234042553191,0.9787234042553191,0.9787234042553191,47.0
tercína,1.0,1.0,1.0,16.0
unfixed,0.9933665008291874,0.9909015715467329,0.9921325051759834,1209.0
accuracy,0.9924483306836248,0.9924483306836248,0.9924483306836248,0.9924483306836248
macro avg,0.9617442005598301,0.9526897703074779,0.9540974259825583,2516.0
weighted avg,0.9927650650289528,0.9924483306836248,0.9924286748063812,2516.0
