Experiment,Form,Precision,Recall,F1-Score,Support
FULL_MODEL,gazel,0.6666666666666666,0.8,0.7272727272727273,20.0
FULL_MODEL,hrdinský kuplet,0.8305084745762712,0.98,0.8990825688073395,50.0
FULL_MODEL,limerik,1.0,1.0,1.0,2.0
FULL_MODEL,rondel,1.0,0.7272727272727273,0.8421052631578947,11.0
FULL_MODEL,sapfická strofa,0.7916666666666666,1.0,0.8837209302325582,19.0
FULL_MODEL,sonet,1.0,1.0,1.0,1135.0
FULL_MODEL,sonet anglický,0.0,0.0,0.0,7.0
FULL_MODEL,stance,0.9787234042553191,0.9787234042553191,0.9787234042553191,47.0
FULL_MODEL,tercína,1.0,1.0,1.0,16.0
FULL_MODEL,unfixed,0.9883430474604497,0.9818031430934657,0.9850622406639005,1209.0
ABLATE_line_count,gazel,0.7083333333333334,0.85,0.7727272727272727,20.0
ABLATE_line_count,hrdinský kuplet,0.8305084745762712,0.98,0.8990825688073395,50.0
ABLATE_line_count,limerik,1.0,1.0,1.0,2.0
ABLATE_line_count,rondel,1.0,0.7272727272727273,0.8421052631578947,11.0
ABLATE_line_count,sapfická strofa,0.7916666666666666,1.0,0.8837209302325582,19.0
ABLATE_line_count,sonet,1.0,1.0,1.0,1135.0
ABLATE_line_count,sonet anglický,0.0,0.0,0.0,7.0
ABLATE_line_count,stance,0.9787234042553191,0.9787234042553191,0.9787234042553191,47.0
ABLATE_line_count,tercína,1.0,1.0,1.0,16.0
ABLATE_line_count,unfixed,0.9891756869275604,0.9826302729528535,0.9858921161825727,1209.0
ABLATE_total_syllables,gazel,0.7083333333333334,0.85,0.7727272727272727,20.0
ABLATE_total_syllables,hrdinský kuplet,0.8305084745762712,0.98,0.8990825688073395,50.0
ABLATE_total_syllables,limerik,1.0,1.0,1.0,2.0
ABLATE_total_syllables,rondel,1.0,0.7272727272727273,0.8421052631578947,11.0
ABLATE_total_syllables,sapfická strofa,0.7916666666666666,1.0,0.8837209302325582,19.0
ABLATE_total_syllables,sonet,1.0,1.0,1.0,1135.0
ABLATE_total_syllables,sonet anglický,0.0,0.0,0.0,7.0
ABLATE_total_syllables,stance,0.9787234042553191,0.9787234042553191,0.9787234042553191,47.0
