Experiment,Form,Precision,Recall,F1-Score,Support
FULL_MODEL,gazel,0.7727272727272727,0.85,0.8095238095238095,20.0
FULL_MODEL,hrdinský kuplet,0.8596491228070176,0.98,0.9158878504672897,50.0
FULL_MODEL,limerik,1.0,1.0,1.0,2.0
FULL_MODEL,rondel,1.0,0.7272727272727273,0.8421052631578947,11.0
FULL_MODEL,sapfická strofa,0.8260869565217391,1.0,0.9047619047619048,19.0
FULL_MODEL,sonet,1.0,1.0,1.0,1135.0
FULL_MODEL,sonet anglický,1.0,1.0,1.0,7.0
FULL_MODEL,stance,1.0,0.9787234042553191,0.989247311827957,47.0
FULL_MODEL,tercína,1.0,1.0,1.0,16.0
FULL_MODEL,unfixed,0.9941666666666666,0.9867659222497932,0.9904524699045247,1209.0
ABLATE_line_count,gazel,0.7727272727272727,0.85,0.8095238095238095,20.0
ABLATE_line_count,hrdinský kuplet,0.8596491228070176,0.98,0.9158878504672897,50.0
ABLATE_line_count,limerik,1.0,1.0,1.0,2.0
ABLATE_line_count,rondel,1.0,0.7272727272727273,0.8421052631578947,11.0
ABLATE_line_count,sapfická strofa,0.8260869565217391,1.0,0.9047619047619048,19.0
ABLATE_line_count,sonet,1.0,1.0,1.0,1135.0
ABLATE_line_count,sonet anglický,1.0,1.0,1.0,7.0
ABLATE_line_count,stance,1.0,0.9787234042553191,0.989247311827957,47.0
ABLATE_line_count,tercína,1.0,1.0,1.0,16.0
ABLATE_line_count,unfixed,0.9941666666666666,0.9867659222497932,0.9904524699045247,1209.0
ABLATE_total_syllables,gazel,0.7727272727272727,0.85,0.8095238095238095,20.0
ABLATE_total_syllables,hrdinský kuplet,0.8596491228070176,0.98,0.9158878504672897,50.0
ABLATE_total_syllables,limerik,1.0,1.0,1.0,2.0
ABLATE_total_syllables,rondel,1.0,0.7272727272727273,0.8421052631578947,11.0
ABLATE_total_syllables,sapfická strofa,0.8260869565217391,1.0,0.9047619047619048,19.0
ABLATE_total_syllables,sonet,1.0,1.0,1.0,1135.0
ABLATE_total_syllables,sonet anglický,1.0,1.0,1.0,7.0
ABLATE_total_syllables,stance,1.0,0.9787234042553191,0.989247311827957,47.0
ABLATE_total_syllables,tercína,1.0,1.0,1.0,16.0
ABLATE_total_syllables,unfixed,0.9941666666666666,0.9867659222497932,0.9904524699045247,1209.0
ABLATE_average_syllable_count,gazel,0.85,0.85,0.85,20.0
ABLATE_average_syllable_count,hrdinský kuplet,0.8448275862068966,0.98,0.9074074074074074,50.0
ABLATE_average_syllable_count,limerik,1.0,1.0,1.0,2.0
ABLATE_average_syllable_count,rondel,1.0,0.7272727272727273,0.8421052631578947,11.0
ABLATE_average_syllable_count,sapfická strofa,0.8260869565217391,1.0,0.9047619047619048,19.0
ABLATE_average_syllable_count,sonet,1.0,1.0,1.0,1135.0
ABLATE_average_syllable_count,sonet anglický,1.0,1.0,1.0,7.0
ABLATE_average_syllable_count,stance,1.0,0.9787234042553191,0.989247311827957,47.0
ABLATE_average_syllable_count,tercína,1.0,1.0,1.0,16.0
ABLATE_average_syllable_count,unfixed,0.9941715237302248,0.9875930521091811,0.9908713692946058,1209.0
ABLATE_stanza_scheme,gazel,0.6666666666666666,0.8,0.7272727272727273,20.0
ABLATE_stanza_scheme,hrdinský kuplet,0.8269230769230769,0.86,0.8431372549019608,50.0
ABLATE_stanza_scheme,limerik,1.0,1.0,1.0,2.0
ABLATE_stanza_scheme,rondel,1.0,0.7272727272727273,0.8421052631578947,11.0
ABLATE_stanza_scheme,sapfická strofa,0.7916666666666666,1.0,0.8837209302325582,19.0
ABLATE_stanza_scheme,sonet,0.9700967458223395,0.9718061674008811,0.9709507042253521,1135.0
ABLATE_stanza_scheme,sonet anglický,0.4,0.2857142857142857,0.3333333333333333,7.0
ABLATE_stanza_scheme,stance,0.9782608695652174,0.9574468085106383,0.967741935483871,47.0
ABLATE_stanza_scheme,tercína,1.0,1.0,1.0,16.0
ABLATE_stanza_scheme,unfixed,0.9625623960066556,0.956989247311828,0.959767731231854,1209.0
ABLATE_rhyme_scheme_per_stanza,gazel,0.7391304347826086,0.85,0.7906976744186046,20.0
ABLATE_rhyme_scheme_per_stanza,hrdinský kuplet,0.8596491228070176,0.98,0.9158878504672897,50.0
ABLATE_rhyme_scheme_per_stanza,limerik,0.6666666666666666,1.0,0.8,2.0
ABLATE_rhyme_scheme_per_stanza,rondel,0.875,0.6363636363636364,0.7368421052631579,11.0
ABLATE_rhyme_scheme_per_stanza,sapfická strofa,0.782608695652174,0.9473684210526315,0.8571428571428571,19.0
ABLATE_rhyme_scheme_per_stanza,sonet,1.0,1.0,1.0,1135.0
ABLATE_rhyme_scheme_per_stanza,sonet anglický,1.0,1.0,1.0,7.0
ABLATE_rhyme_scheme_per_stanza,stance,0.9777777777777777,0.9361702127659575,0.9565217391304348,47.0
ABLATE_rhyme_scheme_per_stanza,tercína,1.0,1.0,1.0,16.0
ABLATE_rhyme_scheme_per_stanza,unfixed,0.9908256880733946,0.9826302729528535,0.9867109634551495,1209.0
ABLATE_rhyme_scheme,gazel,0.7083333333333334,0.85,0.7727272727272727,20.0
ABLATE_rhyme_scheme,hrdinský kuplet,0.8909090909090909,0.98,0.9333333333333333,50.0
ABLATE_rhyme_scheme,limerik,0.6666666666666666,1.0,0.8,2.0
ABLATE_rhyme_scheme,rondel,0.8,0.7272727272727273,0.7619047619047619,11.0
ABLATE_rhyme_scheme,sapfická strofa,0.782608695652174,0.9473684210526315,0.8571428571428571,19.0
ABLATE_rhyme_scheme,sonet,1.0,1.0,1.0,1135.0
ABLATE_rhyme_scheme,sonet anglický,1.0,1.0,1.0,7.0
ABLATE_rhyme_scheme,stance,0.9777777777777777,0.9361702127659575,0.9565217391304348,47.0
ABLATE_rhyme_scheme,tercína,1.0,1.0,1.0,16.0
ABLATE_rhyme_scheme,unfixed,0.991652754590985,0.9826302729528535,0.987120897382634,1209.0
ABLATE_metrical_foot,gazel,0.7727272727272727,0.85,0.8095238095238095,20.0
ABLATE_metrical_foot,hrdinský kuplet,0.8305084745762712,0.98,0.8990825688073395,50.0
ABLATE_metrical_foot,limerik,1.0,1.0,1.0,2.0
ABLATE_metrical_foot,rondel,1.0,0.7272727272727273,0.8421052631578947,11.0
ABLATE_metrical_foot,sapfická strofa,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
ABLATE_metrical_foot,sonet,1.0,1.0,1.0,1135.0
ABLATE_metrical_foot,sonet anglický,1.0,1.0,1.0,7.0
ABLATE_metrical_foot,stance,1.0,0.9787234042553191,0.989247311827957,47.0
ABLATE_metrical_foot,tercína,1.0,1.0,1.0,16.0
ABLATE_metrical_foot,unfixed,0.9908561928512053,0.9859387923904053,0.988391376451078,1209.0
ABLATE_metrical_foot_count,gazel,0.6153846153846154,0.8,0.6956521739130435,20.0
ABLATE_metrical_foot_count,hrdinský kuplet,0.7619047619047619,0.96,0.8495575221238938,50.0
ABLATE_metrical_foot_count,limerik,1.0,1.0,1.0,2.0
ABLATE_metrical_foot_count,rondel,1.0,0.8181818181818182,0.9,11.0
ABLATE_metrical_foot_count,sapfická strofa,0.9411764705882353,0.8421052631578947,0.8888888888888888,19.0
ABLATE_metrical_foot_count,sonet,1.0,1.0,1.0,1135.0
ABLATE_metrical_foot_count,sonet anglický,1.0,1.0,1.0,7.0
ABLATE_metrical_foot_count,stance,1.0,0.9574468085106383,0.9782608695652174,47.0
ABLATE_metrical_foot_count,tercína,1.0,1.0,1.0,16.0
ABLATE_metrical_foot_count,unfixed,0.9891304347826086,0.978494623655914,0.9837837837837838,1209.0
ABLATE_normalized_text,gazel,0.7619047619047619,0.8,0.7804878048780488,20.0
ABLATE_normalized_text,hrdinský kuplet,0.8305084745762712,0.98,0.8990825688073395,50.0
ABLATE_normalized_text,limerik,1.0,1.0,1.0,2.0
ABLATE_normalized_text,rondel,1.0,0.7272727272727273,0.8421052631578947,11.0
ABLATE_normalized_text,sapfická strofa,0.8260869565217391,1.0,0.9047619047619048,19.0
ABLATE_normalized_text,sonet,1.0,1.0,1.0,1135.0
ABLATE_normalized_text,sonet anglický,1.0,1.0,1.0,7.0
ABLATE_normalized_text,stance,1.0,0.9787234042553191,0.989247311827957,47.0
ABLATE_normalized_text,tercína,1.0,1.0,1.0,16.0
ABLATE_normalized_text,unfixed,0.9933277731442869,0.9851116625310173,0.989202657807309,1209.0
ABLATE_normalized_title,gazel,0.7391304347826086,0.85,0.7906976744186046,20.0
ABLATE_normalized_title,hrdinský kuplet,0.8596491228070176,0.98,0.9158878504672897,50.0
ABLATE_normalized_title,limerik,1.0,1.0,1.0,2.0
ABLATE_normalized_title,rondel,1.0,0.7272727272727273,0.8421052631578947,11.0
ABLATE_normalized_title,sapfická strofa,0.8260869565217391,1.0,0.9047619047619048,19.0
ABLATE_normalized_title,sonet,1.0,1.0,1.0,1135.0
ABLATE_normalized_title,sonet anglický,1.0,1.0,1.0,7.0
ABLATE_normalized_title,stance,0.9787234042553191,0.9787234042553191,0.9787234042553191,47.0
ABLATE_normalized_title,tercína,1.0,1.0,1.0,16.0
ABLATE_normalized_title,unfixed,0.9941569282136895,0.9851116625310173,0.989613626921479,1209.0
ABLATE_normalized_collection,gazel,0.5714285714285714,0.8,0.6666666666666666,20.0
ABLATE_normalized_collection,hrdinský kuplet,0.875,0.98,0.9245283018867925,50.0
ABLATE_normalized_collection,limerik,1.0,1.0,1.0,2.0
ABLATE_normalized_collection,rondel,1.0,0.6363636363636364,0.7777777777777778,11.0
ABLATE_normalized_collection,sapfická strofa,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
ABLATE_normalized_collection,sonet,1.0,1.0,1.0,1135.0
ABLATE_normalized_collection,sonet anglický,1.0,1.0,1.0,7.0
ABLATE_normalized_collection,stance,1.0,0.9361702127659575,0.967032967032967,47.0
ABLATE_normalized_collection,tercína,1.0,1.0,1.0,16.0
ABLATE_normalized_collection,unfixed,0.9883527454242929,0.9826302729528535,0.9854832019908751,1209.0
ABLATE_author,gazel,0.7619047619047619,0.8,0.7804878048780488,20.0
ABLATE_author,hrdinský kuplet,0.8909090909090909,0.98,0.9333333333333333,50.0
ABLATE_author,limerik,1.0,1.0,1.0,2.0
ABLATE_author,rondel,1.0,0.6363636363636364,0.7777777777777778,11.0
ABLATE_author,sapfická strofa,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
ABLATE_author,sonet,1.0,1.0,1.0,1135.0
ABLATE_author,sonet anglický,1.0,1.0,1.0,7.0
ABLATE_author,stance,1.0,0.9574468085106383,0.9782608695652174,47.0
ABLATE_author,tercína,1.0,1.0,1.0,16.0
ABLATE_author,unfixed,0.989247311827957,0.989247311827957,0.989247311827957,1209.0
TEXT_ONLY,gazel,0.6296296296296297,0.85,0.723404255319149,20.0
TEXT_ONLY,hrdinský kuplet,0.21138211382113822,0.52,0.30057803468208094,50.0
TEXT_ONLY,limerik,0.05555555555555555,0.5,0.1,2.0
TEXT_ONLY,rondel,0.2727272727272727,0.8181818181818182,0.4090909090909091,11.0
TEXT_ONLY,sapfická strofa,0.2857142857142857,0.631578947368421,0.39344262295081966,19.0
TEXT_ONLY,sonet,0.9336734693877551,0.8061674008810573,0.8652482269503546,1135.0
TEXT_ONLY,sonet anglický,0.08333333333333333,0.14285714285714285,0.10526315789473684,7.0
TEXT_ONLY,stance,0.603448275862069,0.7446808510638298,0.6666666666666666,47.0
TEXT_ONLY,tercína,0.2222222222222222,0.25,0.23529411764705882,16.0
TEXT_ONLY,unfixed,0.8340248962655602,0.8312655086848635,0.8326429163214581,1209.0
WITHOUT_TEXT,gazel,0.48484848484848486,0.8,0.6037735849056604,20.0
WITHOUT_TEXT,hrdinský kuplet,0.8771929824561403,1.0,0.9345794392523364,50.0
WITHOUT_TEXT,limerik,1.0,1.0,1.0,2.0
WITHOUT_TEXT,rondel,1.0,0.8181818181818182,0.9,11.0
WITHOUT_TEXT,sapfická strofa,0.6956521739130435,0.8421052631578947,0.7619047619047619,19.0
WITHOUT_TEXT,sonet,1.0,1.0,1.0,1135.0
WITHOUT_TEXT,sonet anglický,1.0,1.0,1.0,7.0
WITHOUT_TEXT,stance,0.9183673469387755,0.9574468085106383,0.9375,47.0
WITHOUT_TEXT,tercína,1.0,1.0,1.0,16.0
WITHOUT_TEXT,unfixed,0.9907172995780591,0.9710504549214226,0.9807852965747702,1209.0
WITHOUT_NUMERIC,gazel,0.8947368421052632,0.85,0.8717948717948718,20.0
WITHOUT_NUMERIC,hrdinský kuplet,0.9245283018867925,0.98,0.9514563106796117,50.0
WITHOUT_NUMERIC,limerik,1.0,1.0,1.0,2.0
WITHOUT_NUMERIC,rondel,1.0,0.7272727272727273,0.8421052631578947,11.0
WITHOUT_NUMERIC,sapfická strofa,0.8260869565217391,1.0,0.9047619047619048,19.0
WITHOUT_NUMERIC,sonet,1.0,1.0,1.0,1135.0
WITHOUT_NUMERIC,sonet anglický,1.0,1.0,1.0,7.0
WITHOUT_NUMERIC,stance,0.9787234042553191,0.9787234042553191,0.9787234042553191,47.0
WITHOUT_NUMERIC,tercína,1.0,1.0,1.0,16.0
WITHOUT_NUMERIC,unfixed,0.9933665008291874,0.9909015715467329,0.9921325051759834,1209.0
WITHOUT_CATEGORICAL,gazel,0.68,0.85,0.7555555555555555,20.0
WITHOUT_CATEGORICAL,hrdinský kuplet,0.216,0.54,0.30857142857142855,50.0
WITHOUT_CATEGORICAL,limerik,0.0625,0.5,0.1111111111111111,2.0
WITHOUT_CATEGORICAL,rondel,0.42105263157894735,0.7272727272727273,0.5333333333333333,11.0
WITHOUT_CATEGORICAL,sapfická strofa,0.2972972972972973,0.5789473684210527,0.39285714285714285,19.0
WITHOUT_CATEGORICAL,sonet,0.9083333333333333,0.8643171806167401,0.8857787810383747,1135.0
WITHOUT_CATEGORICAL,sonet anglický,0.09090909090909091,0.14285714285714285,0.1111111111111111,7.0
WITHOUT_CATEGORICAL,stance,0.6481481481481481,0.7446808510638298,0.693069306930693,47.0
WITHOUT_CATEGORICAL,tercína,0.26666666666666666,0.25,0.25806451612903225,16.0
WITHOUT_CATEGORICAL,unfixed,0.8738977072310405,0.8196856906534326,0.8459240290226205,1209.0
NUMERIC_ONLY,gazel,0.0319634703196347,0.35,0.058577405857740586,20.0
NUMERIC_ONLY,hrdinský kuplet,0.16326530612244897,0.16,0.16161616161616163,50.0
NUMERIC_ONLY,limerik,0.01098901098901099,1.0,0.021739130434782608,2.0
NUMERIC_ONLY,rondel,0.007272727272727273,0.36363636363636365,0.0142602495543672,11.0
NUMERIC_ONLY,sapfická strofa,0.1206896551724138,0.7368421052631579,0.2074074074074074,19.0
NUMERIC_ONLY,sonet,0.7587939698492462,0.26607929515418505,0.39399869536855836,1135.0
NUMERIC_ONLY,sonet anglický,0.003952569169960474,0.2857142857142857,0.007797270955165692,7.0
NUMERIC_ONLY,stance,0.10526315789473684,0.3829787234042553,0.1651376146788991,47.0
NUMERIC_ONLY,tercína,0.1206896551724138,0.4375,0.1891891891891892,16.0
NUMERIC_ONLY,unfixed,0.9925093632958801,0.21918941273779982,0.35907859078590787,1209.0
CATEGORICAL_ONLY,gazel,0.5161290322580645,0.8,0.6274509803921569,20.0
