Experiment,Accuracy,Macro_F1,Micro_F1,Weighted_F1
ABLATE_rhyme_scheme,0.5979381443298969,0.3464384958042064,0.5979381443298969,0.6109074173756415
ABLATE_metrical_foot,0.6185567010309279,0.3395093983990546,0.6185567010309279,0.6207560636562545
ABLATE_rhyme_scheme_per_stanza,0.6013745704467354,0.3371182992301005,0.6013745704467354,0.6097887494058334
ABLATE_average_syllable_count,0.6082474226804123,0.3368377770539403,0.6082474226804123,0.6104270733260561
FULL_MODEL,0.6048109965635738,0.33362759380573775,0.6048109965635738,0.6085456423713127
ABLATE_metrical_foot_count,0.6048109965635738,0.33148316787110355,0.6048109965635738,0.6119668180527675
ABLATE_line_count,0.6013745704467354,0.3288193380883911,0.6013745704467354,0.6058849989546555
ABLATE_stanza_scheme,0.5979381443298969,0.32495334137023923,0.5979381443298969,0.5776223480266549
CATEGORICAL_ONLY,0.5910652920962199,0.3239198006652698,0.5910652920962199,0.6019840428968937
ABLATE_total_syllables,0.5979381443298969,0.3226855971468555,0.5979381443298969,0.602979722315662
NUMERIC_ONLY,0.46048109965635736,0.17229405686946597,0.46048109965635736,0.4449424717801086
