Experiment,Accuracy,Macro_F1,Micro_F1,Weighted_F1
ABLATE_rhyme_scheme_per_stanza,0.6219931271477663,0.35502822761877195,0.6219931271477663,0.6286163658528098
ABLATE_rhyme_scheme,0.6151202749140894,0.35314344098464084,0.6151202749140894,0.6242124575174999
FULL_MODEL,0.6151202749140894,0.3450540552244018,0.6151202749140894,0.6187545637571901
ABLATE_metrical_foot,0.6219931271477663,0.34009759543086615,0.6219931271477663,0.6232119469273291
ABLATE_average_syllable_count,0.6116838487972509,0.3351780373918597,0.6116838487972509,0.6129682715886826
CATEGORICAL_ONLY,0.6013745704467354,0.33105726767378396,0.6013745704467354,0.6113409347316425
ABLATE_line_count,0.6082474226804123,0.33091126679589905,0.6082474226804123,0.6108593033238834
ABLATE_total_syllables,0.6082474226804123,0.330804942980746,0.6082474226804123,0.6103091901312028
ABLATE_metrical_foot_count,0.6151202749140894,0.3300303592511385,0.6151202749140894,0.6194370594223318
ABLATE_stanza_scheme,0.5876288659793815,0.32036576886244567,0.5876288659793815,0.5645344058915529
NUMERIC_ONLY,0.4639175257731959,0.17939873855491478,0.4639175257731959,0.4466324430219651
