Experiment,Form,Precision,Recall,F1-Score,Support
FULL_MODEL,ballad,0.0,0.0,0.0,14.0
FULL_MODEL,blank verse,0.16666666666666666,0.42857142857142855,0.24,7.0
FULL_MODEL,common measure,0.14285714285714285,0.2222222222222222,0.17391304347826086,9.0
FULL_MODEL,couplet,0.5588235294117647,0.5135135135135135,0.5352112676056338,74.0
FULL_MODEL,free verse,0.6,0.6923076923076923,0.6428571428571429,13.0
FULL_MODEL,haiku,0.8,1.0,0.8888888888888888,4.0
FULL_MODEL,limerick,0.0,0.0,0.0,1.0
FULL_MODEL,pantoum,0.0,0.0,0.0,1.0
FULL_MODEL,quatrain,0.0,0.0,0.0,3.0
FULL_MODEL,sonnet,0.9553571428571429,0.8991596638655462,0.9264069264069265,119.0
FULL_MODEL,unfixed,0.24528301886792453,0.2826086956521739,0.26262626262626265,46.0
ABLATE_line_count,ballad,0.0,0.0,0.0,14.0
ABLATE_line_count,blank verse,0.16666666666666666,0.42857142857142855,0.24,7.0
ABLATE_line_count,common measure,0.14285714285714285,0.2222222222222222,0.17391304347826086,9.0
ABLATE_line_count,couplet,0.5588235294117647,0.5135135135135135,0.5352112676056338,74.0
ABLATE_line_count,free verse,0.5714285714285714,0.6153846153846154,0.5925925925925926,13.0
ABLATE_line_count,haiku,0.8,1.0,0.8888888888888888,4.0
ABLATE_line_count,limerick,0.0,0.0,0.0,1.0
ABLATE_line_count,pantoum,0.0,0.0,0.0,1.0
ABLATE_line_count,quatrain,0.0,0.0,0.0,3.0
ABLATE_line_count,sonnet,0.9553571428571429,0.8991596638655462,0.9264069264069265,119.0
ABLATE_line_count,unfixed,0.24074074074074073,0.2826086956521739,0.26,46.0
ABLATE_total_syllables,ballad,0.0,0.0,0.0,14.0
ABLATE_total_syllables,blank verse,0.16666666666666666,0.42857142857142855,0.24,7.0
ABLATE_total_syllables,common measure,0.15384615384615385,0.2222222222222222,0.18181818181818182,9.0
ABLATE_total_syllables,couplet,0.5671641791044776,0.5135135135135135,0.5390070921985816,74.0
ABLATE_total_syllables,free verse,0.5,0.5384615384615384,0.5185185185185185,13.0
ABLATE_total_syllables,haiku,0.8,1.0,0.8888888888888888,4.0
ABLATE_total_syllables,limerick,0.0,0.0,0.0,1.0
ABLATE_total_syllables,pantoum,0.0,0.0,0.0,1.0
ABLATE_total_syllables,quatrain,0.0,0.0,0.0,3.0
ABLATE_total_syllables,sonnet,0.9553571428571429,0.8991596638655462,0.9264069264069265,119.0
ABLATE_total_syllables,unfixed,0.23214285714285715,0.2826086956521739,0.2549019607843137,46.0
ABLATE_average_syllable_count,ballad,0.0,0.0,0.0,14.0
ABLATE_average_syllable_count,blank verse,0.17647058823529413,0.42857142857142855,0.25,7.0
ABLATE_average_syllable_count,common measure,0.15384615384615385,0.2222222222222222,0.18181818181818182,9.0
ABLATE_average_syllable_count,couplet,0.5441176470588235,0.5,0.5211267605633803,74.0
ABLATE_average_syllable_count,free verse,0.6,0.6923076923076923,0.6428571428571429,13.0
ABLATE_average_syllable_count,haiku,0.8,1.0,0.8888888888888888,4.0
ABLATE_average_syllable_count,limerick,0.0,0.0,0.0,1.0
ABLATE_average_syllable_count,pantoum,0.0,0.0,0.0,1.0
ABLATE_average_syllable_count,quatrain,0.0,0.0,0.0,3.0
ABLATE_average_syllable_count,sonnet,0.9553571428571429,0.8991596638655462,0.9264069264069265,119.0
ABLATE_average_syllable_count,unfixed,0.26785714285714285,0.32608695652173914,0.29411764705882354,46.0
ABLATE_stanza_scheme,ballad,0.25,0.07142857142857142,0.1111111111111111,14.0
ABLATE_stanza_scheme,blank verse,0.2,0.42857142857142855,0.2727272727272727,7.0
ABLATE_stanza_scheme,common measure,0.1,0.1111111111111111,0.10526315789473684,9.0
ABLATE_stanza_scheme,couplet,0.5671641791044776,0.5135135135135135,0.5390070921985816,74.0
ABLATE_stanza_scheme,free verse,0.5,0.6923076923076923,0.5806451612903226,13.0
ABLATE_stanza_scheme,haiku,0.8,1.0,0.8888888888888888,4.0
ABLATE_stanza_scheme,limerick,0.0,0.0,0.0,1.0
ABLATE_stanza_scheme,pantoum,0.0,0.0,0.0,1.0
ABLATE_stanza_scheme,quatrain,0.0,0.0,0.0,3.0
ABLATE_stanza_scheme,sonnet,0.8195488721804511,0.9159663865546218,0.8650793650793651,119.0
ABLATE_stanza_scheme,unfixed,0.23076923076923078,0.1956521739130435,0.21176470588235294,46.0
ABLATE_rhyme_scheme_per_stanza,ballad,0.16666666666666666,0.07142857142857142,0.1,14.0
ABLATE_rhyme_scheme_per_stanza,blank verse,0.15,0.42857142857142855,0.2222222222222222,7.0
ABLATE_rhyme_scheme_per_stanza,common measure,0.14285714285714285,0.2222222222222222,0.17391304347826086,9.0
ABLATE_rhyme_scheme_per_stanza,couplet,0.578125,0.5,0.5362318840579711,74.0
ABLATE_rhyme_scheme_per_stanza,free verse,0.5294117647058824,0.6923076923076923,0.6,13.0
ABLATE_rhyme_scheme_per_stanza,haiku,0.8,1.0,0.8888888888888888,4.0
ABLATE_rhyme_scheme_per_stanza,limerick,0.0,0.0,0.0,1.0
ABLATE_rhyme_scheme_per_stanza,pantoum,0.0,0.0,0.0,1.0
ABLATE_rhyme_scheme_per_stanza,quatrain,0.0,0.0,0.0,3.0
ABLATE_rhyme_scheme_per_stanza,sonnet,0.954954954954955,0.8907563025210085,0.9217391304347826,119.0
ABLATE_rhyme_scheme_per_stanza,unfixed,0.25,0.2826086956521739,0.2653061224489796,46.0
ABLATE_rhyme_scheme,ballad,0.2222222222222222,0.14285714285714285,0.17391304347826086,14.0
ABLATE_rhyme_scheme,blank verse,0.15789473684210525,0.42857142857142855,0.23076923076923078,7.0
ABLATE_rhyme_scheme,common measure,0.14285714285714285,0.2222222222222222,0.17391304347826086,9.0
ABLATE_rhyme_scheme,couplet,0.5932203389830508,0.47297297297297297,0.5263157894736842,74.0
ABLATE_rhyme_scheme,free verse,0.6,0.6923076923076923,0.6428571428571429,13.0
ABLATE_rhyme_scheme,haiku,0.8,1.0,0.8888888888888888,4.0
ABLATE_rhyme_scheme,limerick,0.0,0.0,0.0,1.0
ABLATE_rhyme_scheme,pantoum,0.0,0.0,0.0,1.0
