Experiment,Accuracy,Macro_F1,Micro_F1,Weighted_F1
ABLATE_normalized_text,0.7147766323024055,0.5242078105043836,0.7147766323024055,0.7260242365927272
ABLATE_line_count,0.7147766323024055,0.5222366358351298,0.7147766323024055,0.7242030786320984
FULL_MODEL,0.711340206185567,0.5209570866566812,0.711340206185567,0.7210451527908717
ABLATE_total_syllables,0.711340206185567,0.5209570866566812,0.711340206185567,0.7210451527908717
ABLATE_metrical_foot,0.711340206185567,0.5201696518638722,0.711340206185567,0.7200368795626166
ABLATE_rhyme_scheme_per_stanza,0.711340206185567,0.5185663803001265,0.711340206185567,0.7210424530020763
ABLATE_rhyme_scheme,0.7079037800687286,0.5172739623883618,0.7079037800687286,0.7178485300855255
ABLATE_average_syllable_count,0.711340206185567,0.516538369265935,0.711340206185567,0.7214918897092214
ABLATE_metrical_foot_count,0.7147766323024055,0.5102636961498507,0.7147766323024055,0.7278601181366137
ABLATE_normalized_title,0.6769759450171822,0.4964393684940772,0.6769759450171822,0.6924347381442286
WITHOUT_NUMERIC,0.7147766323024055,0.49598253871137293,0.7147766323024055,0.7252506823870797
WITHOUT_CATEGORICAL,0.6460481099656358,0.4903905769341579,0.6460481099656358,0.6610767552813385
ABLATE_stanza_scheme,0.6838487972508591,0.48270321421434836,0.6838487972508591,0.6980930659093314
TEXT_ONLY,0.6082474226804123,0.47612363125915425,0.6082474226804123,0.6318366835301761
ABLATE_normalized_collection,0.7044673539518901,0.4491399459318412,0.7044673539518901,0.7109093030748607
ABLATE_author,0.6735395189003437,0.41580636576684005,0.6735395189003437,0.6762864563761023
WITHOUT_TEXT,0.6048109965635738,0.33362759380573775,0.6048109965635738,0.6085456423713127
CATEGORICAL_ONLY,0.5910652920962199,0.3239198006652698,0.5910652920962199,0.6019840428968937
NUMERIC_ONLY,0.46048109965635736,0.17229405686946597,0.46048109965635736,0.4449424717801086
