Experiment,Accuracy,Macro_F1,Micro_F1,Weighted_F1
ABLATE_normalized_text,0.7285223367697594,0.5357867112554475,0.7285223367697594,0.7360708148818157
ABLATE_average_syllable_count,0.7285223367697594,0.5289298314657166,0.7285223367697594,0.7373930008818776
FULL_MODEL,0.7216494845360825,0.5243646819288258,0.7216494845360825,0.7304304813717388
ABLATE_total_syllables,0.718213058419244,0.52351147403777,0.718213058419244,0.7273394842328423
ABLATE_metrical_foot,0.718213058419244,0.5226990113198963,0.718213058419244,0.7273170025027608
ABLATE_line_count,0.7147766323024055,0.5222366358351298,0.7147766323024055,0.7242030786320984
ABLATE_rhyme_scheme_per_stanza,0.711340206185567,0.5191991807830019,0.711340206185567,0.7210038125284987
ABLATE_rhyme_scheme,0.711340206185567,0.5159085627966645,0.711340206185567,0.7217692993424523
ABLATE_metrical_foot_count,0.7147766323024055,0.5078592743071982,0.7147766323024055,0.7258770992576506
ABLATE_normalized_title,0.6872852233676976,0.49927172265537495,0.6872852233676976,0.7011207030317671
WITHOUT_NUMERIC,0.718213058419244,0.4964703500276624,0.718213058419244,0.7285353481453885
WITHOUT_CATEGORICAL,0.6460481099656358,0.4898949772746564,0.6460481099656358,0.6566269119331581
TEXT_ONLY,0.6288659793814433,0.4843388322450807,0.6288659793814433,0.6459525237633778
ABLATE_stanza_scheme,0.7044673539518901,0.47966129753841713,0.7044673539518901,0.7086840175937373
ABLATE_normalized_collection,0.7010309278350515,0.4438207799588874,0.7010309278350515,0.7078729885300402
ABLATE_author,0.6838487972508591,0.4209321180122083,0.6838487972508591,0.686340556599016
WITHOUT_TEXT,0.6151202749140894,0.3450540552244018,0.6151202749140894,0.6187545637571901
CATEGORICAL_ONLY,0.6013745704467354,0.33105726767378396,0.6013745704467354,0.6113409347316425
NUMERIC_ONLY,0.4639175257731959,0.17939873855491478,0.4639175257731959,0.4466324430219651
