,precision,recall,f1-score,support
ballad,0.4666666666666667,0.5,0.4827586206896552,14.0
blank verse,0.23076923076923078,0.42857142857142855,0.3,7.0
common measure,0.375,0.6666666666666666,0.48,9.0
couplet,0.7457627118644068,0.5945945945945946,0.6616541353383458,74.0
free verse,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
haiku,0.8,1.0,0.8888888888888888,4.0
limerick,0.0,0.0,0.0,1.0
pantoum,0.0,0.0,0.0,1.0
quatrain,1.0,0.6666666666666666,0.8,3.0
sonnet,0.9821428571428571,0.9243697478991597,0.9523809523809523,119.0
unfixed,0.39285714285714285,0.4782608695652174,0.43137254901960786,46.0
accuracy,0.7147766323024055,0.7147766323024055,0.7147766323024055,0.7147766323024055
macro avg,0.5238572162300976,0.548032794835864,0.5242078105043836,291.0
weighted avg,0.7486480659728956,0.7147766323024055,0.7260242365927272,291.0
