,precision,recall,f1-score,support
ballad,0.4666666666666667,0.5,0.4827586206896552,14.0
blank verse,0.3,0.42857142857142855,0.35294117647058826,7.0
common measure,0.42857142857142855,0.6666666666666666,0.5217391304347826,9.0
couplet,0.7272727272727273,0.6486486486486487,0.6857142857142857,74.0
free verse,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
haiku,0.8,1.0,0.8888888888888888,4.0
limerick,0.0,0.0,0.0,1.0
pantoum,0.0,0.0,0.0,1.0
quatrain,1.0,0.6666666666666666,0.8,3.0
sonnet,0.9821428571428571,0.9243697478991597,0.9523809523809523,119.0
unfixed,0.4074074074074074,0.4782608695652174,0.44,46.0
accuracy,0.7285223367697594,0.7285223367697594,0.7285223367697594,0.7285223367697594
macro avg,0.5346628960265324,0.5529467997498689,0.5357867112554475,291.0
weighted avg,0.7495683805821263,0.7285223367697594,0.7360708148818157,291.0
