Experiment,Form,Precision,Recall,F1-Score,Support
FULL_MODEL,ballad,0.4,0.42857142857142855,0.41379310344827586,14.0
FULL_MODEL,blank verse,0.25,0.42857142857142855,0.3157894736842105,7.0
FULL_MODEL,common measure,0.46153846153846156,0.6666666666666666,0.5454545454545454,9.0
FULL_MODEL,couplet,0.703125,0.6081081081081081,0.6521739130434783,74.0
FULL_MODEL,free verse,0.75,0.6923076923076923,0.72,13.0
FULL_MODEL,haiku,0.8,1.0,0.8888888888888888,4.0
FULL_MODEL,limerick,0.0,0.0,0.0,1.0
FULL_MODEL,pantoum,0.0,0.0,0.0,1.0
FULL_MODEL,quatrain,1.0,0.6666666666666666,0.8,3.0
FULL_MODEL,sonnet,0.9819819819819819,0.9159663865546218,0.9478260869565217,119.0
FULL_MODEL,unfixed,0.40350877192982454,0.5,0.44660194174757284,46.0
ABLATE_normalized_text,ballad,0.4666666666666667,0.5,0.4827586206896552,14.0
ABLATE_normalized_text,blank verse,0.23076923076923078,0.42857142857142855,0.3,7.0
ABLATE_normalized_text,common measure,0.375,0.6666666666666666,0.48,9.0
ABLATE_normalized_text,couplet,0.7457627118644068,0.5945945945945946,0.6616541353383458,74.0
ABLATE_normalized_text,free verse,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
ABLATE_normalized_text,haiku,0.8,1.0,0.8888888888888888,4.0
ABLATE_normalized_text,limerick,0.0,0.0,0.0,1.0
ABLATE_normalized_text,pantoum,0.0,0.0,0.0,1.0
ABLATE_normalized_text,quatrain,1.0,0.6666666666666666,0.8,3.0
ABLATE_normalized_text,sonnet,0.9821428571428571,0.9243697478991597,0.9523809523809523,119.0
ABLATE_normalized_text,unfixed,0.39285714285714285,0.4782608695652174,0.43137254901960786,46.0
ABLATE_normalized_title,ballad,0.3125,0.35714285714285715,0.3333333333333333,14.0
ABLATE_normalized_title,blank verse,0.25,0.42857142857142855,0.3157894736842105,7.0
ABLATE_normalized_title,common measure,0.3333333333333333,0.5555555555555556,0.4166666666666667,9.0
ABLATE_normalized_title,couplet,0.6984126984126984,0.5945945945945946,0.6423357664233577,74.0
ABLATE_normalized_title,free verse,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
ABLATE_normalized_title,haiku,0.8,1.0,0.8888888888888888,4.0
ABLATE_normalized_title,limerick,0.0,0.0,0.0,1.0
ABLATE_normalized_title,pantoum,0.0,0.0,0.0,1.0
ABLATE_normalized_title,quatrain,1.0,0.6666666666666666,0.8,3.0
ABLATE_normalized_title,sonnet,0.9813084112149533,0.8823529411764706,0.9292035398230089,119.0
ABLATE_normalized_title,unfixed,0.3275862068965517,0.41304347826086957,0.36538461538461536,46.0
ABLATE_normalized_collection,ballad,0.42857142857142855,0.42857142857142855,0.42857142857142855,14.0
ABLATE_normalized_collection,blank verse,0.23076923076923078,0.42857142857142855,0.3,7.0
ABLATE_normalized_collection,common measure,0.42857142857142855,0.6666666666666666,0.5217391304347826,9.0
ABLATE_normalized_collection,couplet,0.6875,0.5945945945945946,0.6376811594202898,74.0
ABLATE_normalized_collection,free verse,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
ABLATE_normalized_collection,haiku,0.8,1.0,0.8888888888888888,4.0
ABLATE_normalized_collection,limerick,0.0,0.0,0.0,1.0
ABLATE_normalized_collection,pantoum,0.0,0.0,0.0,1.0
ABLATE_normalized_collection,quatrain,0.0,0.0,0.0,3.0
ABLATE_normalized_collection,sonnet,0.9819819819819819,0.9159663865546218,0.9478260869565217,119.0
ABLATE_normalized_collection,unfixed,0.40350877192982454,0.5,0.44660194174757284,46.0
ABLATE_author,ballad,0.25,0.07142857142857142,0.1111111111111111,14.0
ABLATE_author,blank verse,0.21428571428571427,0.42857142857142855,0.2857142857142857,7.0
ABLATE_author,common measure,0.14285714285714285,0.2222222222222222,0.17391304347826086,9.0
ABLATE_author,couplet,0.6351351351351351,0.6351351351351351,0.6351351351351351,74.0
ABLATE_author,free verse,0.6153846153846154,0.6153846153846154,0.6153846153846154,13.0
ABLATE_author,haiku,0.8,1.0,0.8888888888888888,4.0
ABLATE_author,limerick,0.0,0.0,0.0,1.0
ABLATE_author,pantoum,0.0,0.0,0.0,1.0
ABLATE_author,quatrain,1.0,0.3333333333333333,0.5,3.0
ABLATE_author,sonnet,0.9732142857142857,0.9159663865546218,0.9437229437229437,119.0
ABLATE_author,unfixed,0.3888888888888889,0.45652173913043476,0.42,46.0
TEXT_ONLY,ballad,0.38461538461538464,0.35714285714285715,0.37037037037037035,14.0
TEXT_ONLY,blank verse,0.125,0.42857142857142855,0.1935483870967742,7.0
TEXT_ONLY,common measure,0.35294117647058826,0.6666666666666666,0.46153846153846156,9.0
TEXT_ONLY,couplet,0.578125,0.5,0.5362318840579711,74.0
TEXT_ONLY,free verse,0.6153846153846154,0.6153846153846154,0.6153846153846154,13.0
TEXT_ONLY,haiku,1.0,1.0,1.0,4.0
TEXT_ONLY,limerick,0.0,0.0,0.0,1.0
TEXT_ONLY,pantoum,0.0,0.0,0.0,1.0
TEXT_ONLY,quatrain,1.0,0.6666666666666666,0.8,3.0
TEXT_ONLY,sonnet,0.9375,0.7563025210084033,0.8372093023255814,119.0
TEXT_ONLY,unfixed,0.3793103448275862,0.4782608695652174,0.4230769230769231,46.0
WITHOUT_TEXT,ballad,0.0,0.0,0.0,14.0
WITHOUT_TEXT,blank verse,0.16666666666666666,0.42857142857142855,0.24,7.0
WITHOUT_TEXT,common measure,0.14285714285714285,0.2222222222222222,0.17391304347826086,9.0
WITHOUT_TEXT,couplet,0.5588235294117647,0.5135135135135135,0.5352112676056338,74.0
WITHOUT_TEXT,free verse,0.6,0.6923076923076923,0.6428571428571429,13.0
WITHOUT_TEXT,haiku,0.8,1.0,0.8888888888888888,4.0
WITHOUT_TEXT,limerick,0.0,0.0,0.0,1.0
WITHOUT_TEXT,pantoum,0.0,0.0,0.0,1.0
WITHOUT_TEXT,quatrain,0.0,0.0,0.0,3.0
WITHOUT_TEXT,sonnet,0.9553571428571429,0.8991596638655462,0.9264069264069265,119.0
WITHOUT_TEXT,unfixed,0.24528301886792453,0.2826086956521739,0.26262626262626265,46.0
WITHOUT_NUMERIC,ballad,0.4,0.42857142857142855,0.41379310344827586,14.0
WITHOUT_NUMERIC,blank verse,0.2,0.42857142857142855,0.2727272727272727,7.0
WITHOUT_NUMERIC,common measure,0.46153846153846156,0.6666666666666666,0.5454545454545454,9.0
WITHOUT_NUMERIC,couplet,0.7076923076923077,0.6216216216216216,0.6618705035971223,74.0
WITHOUT_NUMERIC,free verse,0.8181818181818182,0.6923076923076923,0.75,13.0
WITHOUT_NUMERIC,haiku,0.8,1.0,0.8888888888888888,4.0
WITHOUT_NUMERIC,limerick,0.0,0.0,0.0,1.0
WITHOUT_NUMERIC,pantoum,0.0,0.0,0.0,1.0
WITHOUT_NUMERIC,quatrain,1.0,0.3333333333333333,0.5,3.0
WITHOUT_NUMERIC,sonnet,0.9819819819819819,0.9159663865546218,0.9478260869565217,119.0
WITHOUT_NUMERIC,unfixed,0.43636363636363634,0.5217391304347826,0.4752475247524752,46.0
WITHOUT_CATEGORICAL,ballad,0.45454545454545453,0.35714285714285715,0.4,14.0
WITHOUT_CATEGORICAL,blank verse,0.16666666666666666,0.42857142857142855,0.24,7.0
WITHOUT_CATEGORICAL,common measure,0.3157894736842105,0.6666666666666666,0.42857142857142855,9.0
WITHOUT_CATEGORICAL,couplet,0.6031746031746031,0.5135135135135135,0.5547445255474452,74.0
WITHOUT_CATEGORICAL,free verse,0.6666666666666666,0.6153846153846154,0.64,13.0
WITHOUT_CATEGORICAL,haiku,1.0,1.0,1.0,4.0
WITHOUT_CATEGORICAL,limerick,0.0,0.0,0.0,1.0
WITHOUT_CATEGORICAL,pantoum,0.0,0.0,0.0,1.0
WITHOUT_CATEGORICAL,quatrain,1.0,0.6666666666666666,0.8,3.0
WITHOUT_CATEGORICAL,sonnet,0.9339622641509434,0.8319327731092437,0.88,119.0
WITHOUT_CATEGORICAL,unfixed,0.4107142857142857,0.5,0.45098039215686275,46.0
ABLATE_line_count,ballad,0.4,0.42857142857142855,0.41379310344827586,14.0
ABLATE_line_count,blank verse,0.25,0.42857142857142855,0.3157894736842105,7.0
ABLATE_line_count,common measure,0.46153846153846156,0.6666666666666666,0.5454545454545454,9.0
ABLATE_line_count,couplet,0.7076923076923077,0.6216216216216216,0.6618705035971223,74.0
ABLATE_line_count,free verse,0.75,0.6923076923076923,0.72,13.0
ABLATE_line_count,haiku,0.8,1.0,0.8888888888888888,4.0
ABLATE_line_count,limerick,0.0,0.0,0.0,1.0
ABLATE_line_count,pantoum,0.0,0.0,0.0,1.0
ABLATE_line_count,quatrain,1.0,0.6666666666666666,0.8,3.0
ABLATE_line_count,sonnet,0.9819819819819819,0.9159663865546218,0.9478260869565217,119.0
ABLATE_line_count,unfixed,0.4107142857142857,0.5,0.45098039215686275,46.0
ABLATE_total_syllables,ballad,0.4,0.42857142857142855,0.41379310344827586,14.0
ABLATE_total_syllables,blank verse,0.25,0.42857142857142855,0.3157894736842105,7.0
ABLATE_total_syllables,common measure,0.46153846153846156,0.6666666666666666,0.5454545454545454,9.0
ABLATE_total_syllables,couplet,0.703125,0.6081081081081081,0.6521739130434783,74.0
ABLATE_total_syllables,free verse,0.75,0.6923076923076923,0.72,13.0
ABLATE_total_syllables,haiku,0.8,1.0,0.8888888888888888,4.0
ABLATE_total_syllables,limerick,0.0,0.0,0.0,1.0
