Experiment,Accuracy,Macro_F1,Micro_F1,Weighted_F1
ABLATE_metrical_foot_count,0.6219931271477663,0.3365311470778463,0.6219931271477663,0.620088463801163
ABLATE_rhyme_scheme,0.6048109965635738,0.336388338941121,0.6048109965635738,0.6113494194659546
ABLATE_line_count,0.6151202749140894,0.3109457822628459,0.6151202749140894,0.6177520783923705
ABLATE_rhyme_scheme_per_stanza,0.6116838487972509,0.3106833597513242,0.6116838487972509,0.6191338404675806
ABLATE_total_syllables,0.6151202749140894,0.3084337096627046,0.6151202749140894,0.6168429216612743
ABLATE_average_syllable_count,0.6082474226804123,0.3074802607978775,0.6082474226804123,0.6120297734441692
ABLATE_metrical_foot,0.6116838487972509,0.3055391581851124,0.6116838487972509,0.615235727862394
CATEGORICAL_ONLY,0.6013745704467354,0.3038904343509597,0.6013745704467354,0.6070682598983207
FULL_MODEL,0.6116838487972509,0.3027813481043028,0.6116838487972509,0.6127378220078455
ABLATE_stanza_scheme,0.5876288659793815,0.284787895445266,0.5876288659793815,0.5681418719862882
NUMERIC_ONLY,0.49140893470790376,0.23000793106828352,0.49140893470790376,0.44090694355481164
