Experiment,Accuracy,Macro_F1,Micro_F1,Weighted_F1
ABLATE_rhyme_scheme,0.6151202749140894,0.3389591377860807,0.6151202749140894,0.6179941420758659
ABLATE_metrical_foot_count,0.6323024054982818,0.3358520530792322,0.6323024054982818,0.6264411852330823
ABLATE_line_count,0.6254295532646048,0.3139027171606959,0.6254295532646048,0.6257482727925808
ABLATE_rhyme_scheme_per_stanza,0.6185567010309279,0.3111951281371131,0.6185567010309279,0.6215156172872738
ABLATE_average_syllable_count,0.6151202749140894,0.3076324986216186,0.6151202749140894,0.6157674794094716
FULL_MODEL,0.6219931271477663,0.30573353453919366,0.6219931271477663,0.6207250090144015
ABLATE_metrical_foot,0.6219931271477663,0.30404565949017104,0.6219931271477663,0.6228900480851535
ABLATE_total_syllables,0.6185567010309279,0.3038267316382818,0.6185567010309279,0.6197199164328548
CATEGORICAL_ONLY,0.6185567010309279,0.2853964890885421,0.6185567010309279,0.6172337702528186
ABLATE_stanza_scheme,0.5876288659793815,0.2826645277870323,0.5876288659793815,0.557863540191828
NUMERIC_ONLY,0.49828178694158076,0.23789658927367083,0.49828178694158076,0.44640356221421756
