,precision,recall,f1-score,support
ballad,0.125,0.07142857142857142,0.09090909090909091,14.0
blank verse,0.2222222222222222,0.2857142857142857,0.25,7.0
common measure,0.13333333333333333,0.2222222222222222,0.16666666666666666,9.0
couplet,0.5411764705882353,0.6216216216216216,0.5786163522012578,74.0
free verse,0.6,0.46153846153846156,0.5217391304347826,13.0
haiku,0.8,1.0,0.8888888888888888,4.0
limerick,0.0,0.0,0.0,1.0
pantoum,0.0,0.0,0.0,1.0
quatrain,0.0,0.0,0.0,3.0
sonnet,0.9469026548672567,0.8991596638655462,0.9224137931034483,119.0
unfixed,0.2826086956521739,0.2826086956521739,0.2826086956521739,46.0
accuracy,0.6219931271477663,0.6219931271477663,0.6219931271477663,0.6219931271477663
macro avg,0.3319312160602928,0.34948122927662567,0.3365311470778463,291.0
weighted avg,0.6227973550113007,0.6219931271477663,0.620088463801163,291.0
