,precision,recall,f1-score,support
ballad,0.125,0.07142857142857142,0.09090909090909091,14.0
blank verse,0.15384615384615385,0.2857142857142857,0.2,7.0
common measure,0.16666666666666666,0.2222222222222222,0.19047619047619047,9.0
couplet,0.5735294117647058,0.527027027027027,0.5492957746478874,74.0
free verse,0.6153846153846154,0.6153846153846154,0.6153846153846154,13.0
haiku,0.8,1.0,0.8888888888888888,4.0
limerick,0.0,0.0,0.0,1.0
pantoum,0.0,0.0,0.0,1.0
quatrain,0.0,0.0,0.0,3.0
sonnet,0.9482758620689655,0.9243697478991597,0.9361702127659575,119.0
unfixed,0.23636363636363636,0.2826086956521739,0.25742574257425743,46.0
accuracy,0.6151202749140894,0.6151202749140894,0.6151202749140894,0.6151202749140894
macro avg,0.3290060314631585,0.35715956048436864,0.3389591377860807,291.0
weighted avg,0.6243493278572011,0.6151202749140894,0.6179941420758659,291.0
