Experiment,Form,Precision,Recall,F1-Score,Support
FULL_MODEL,ballad,0.0,0.0,0.0,14.0
FULL_MODEL,blank verse,0.18181818181818182,0.2857142857142857,0.2222222222222222,7.0
FULL_MODEL,common measure,0.13333333333333333,0.2222222222222222,0.16666666666666666,9.0
FULL_MODEL,couplet,0.5753424657534246,0.5675675675675675,0.5714285714285714,74.0
FULL_MODEL,free verse,0.6153846153846154,0.6153846153846154,0.6153846153846154,13.0
FULL_MODEL,haiku,0.8,1.0,0.8888888888888888,4.0
FULL_MODEL,limerick,0.0,0.0,0.0,1.0
FULL_MODEL,pantoum,0.0,0.0,0.0,1.0
FULL_MODEL,quatrain,0.0,0.0,0.0,3.0
FULL_MODEL,sestina,0.0,0.0,0.0,0.0
FULL_MODEL,sonnet,0.9482758620689655,0.9243697478991597,0.9361702127659575,119.0
FULL_MODEL,unfixed,0.2549019607843137,0.2826086956521739,0.26804123711340205,46.0
ABLATE_line_count,ballad,0.14285714285714285,0.07142857142857142,0.09523809523809523,14.0
ABLATE_line_count,blank verse,0.18181818181818182,0.2857142857142857,0.2222222222222222,7.0
ABLATE_line_count,common measure,0.13333333333333333,0.2222222222222222,0.16666666666666666,9.0
ABLATE_line_count,couplet,0.5753424657534246,0.5675675675675675,0.5714285714285714,74.0
ABLATE_line_count,free verse,0.6153846153846154,0.6153846153846154,0.6153846153846154,13.0
ABLATE_line_count,haiku,0.8,1.0,0.8888888888888888,4.0
ABLATE_line_count,limerick,0.0,0.0,0.0,1.0
ABLATE_line_count,pantoum,0.0,0.0,0.0,1.0
ABLATE_line_count,quatrain,0.0,0.0,0.0,3.0
ABLATE_line_count,sestina,0.0,0.0,0.0,0.0
ABLATE_line_count,sonnet,0.9482758620689655,0.9243697478991597,0.9361702127659575,119.0
ABLATE_line_count,unfixed,0.26,0.2826086956521739,0.2708333333333333,46.0
ABLATE_total_syllables,ballad,0.14285714285714285,0.07142857142857142,0.09523809523809523,14.0
ABLATE_total_syllables,blank verse,0.18181818181818182,0.2857142857142857,0.2222222222222222,7.0
ABLATE_total_syllables,common measure,0.13333333333333333,0.2222222222222222,0.16666666666666666,9.0
ABLATE_total_syllables,couplet,0.5753424657534246,0.5675675675675675,0.5714285714285714,74.0
ABLATE_total_syllables,free verse,0.5454545454545454,0.46153846153846156,0.5,13.0
ABLATE_total_syllables,haiku,0.8,1.0,0.8888888888888888,4.0
ABLATE_total_syllables,limerick,0.0,0.0,0.0,1.0
ABLATE_total_syllables,pantoum,0.0,0.0,0.0,1.0
ABLATE_total_syllables,quatrain,0.0,0.0,0.0,3.0
ABLATE_total_syllables,sestina,0.0,0.0,0.0,0.0
ABLATE_total_syllables,sonnet,0.9482758620689655,0.9243697478991597,0.9361702127659575,119.0
ABLATE_total_syllables,unfixed,0.25,0.2826086956521739,0.2653061224489796,46.0
ABLATE_average_syllable_count,ballad,0.16666666666666666,0.07142857142857142,0.1,14.0
ABLATE_average_syllable_count,blank verse,0.15384615384615385,0.2857142857142857,0.2,7.0
ABLATE_average_syllable_count,common measure,0.14285714285714285,0.2222222222222222,0.17391304347826086,9.0
ABLATE_average_syllable_count,couplet,0.5555555555555556,0.5405405405405406,0.547945205479452,74.0
ABLATE_average_syllable_count,free verse,0.6363636363636364,0.5384615384615384,0.5833333333333334,13.0
ABLATE_average_syllable_count,haiku,0.8,1.0,0.8888888888888888,4.0
ABLATE_average_syllable_count,limerick,0.0,0.0,0.0,1.0
ABLATE_average_syllable_count,pantoum,0.0,0.0,0.0,1.0
ABLATE_average_syllable_count,quatrain,0.0,0.0,0.0,3.0
ABLATE_average_syllable_count,sestina,0.0,0.0,0.0,0.0
ABLATE_average_syllable_count,sonnet,0.9401709401709402,0.9243697478991597,0.9322033898305084,119.0
ABLATE_average_syllable_count,unfixed,0.25,0.2826086956521739,0.2653061224489796,46.0
ABLATE_stanza_scheme,ballad,0.0,0.0,0.0,14.0
ABLATE_stanza_scheme,blank verse,0.16666666666666666,0.2857142857142857,0.21052631578947367,7.0
ABLATE_stanza_scheme,common measure,0.15384615384615385,0.2222222222222222,0.18181818181818182,9.0
ABLATE_stanza_scheme,couplet,0.5428571428571428,0.5135135135135135,0.5277777777777778,74.0
ABLATE_stanza_scheme,free verse,0.5,0.6153846153846154,0.5517241379310345,13.0
ABLATE_stanza_scheme,haiku,0.8,1.0,0.8888888888888888,4.0
ABLATE_stanza_scheme,limerick,0.0,0.0,0.0,1.0
ABLATE_stanza_scheme,pantoum,0.0,0.0,0.0,1.0
ABLATE_stanza_scheme,quatrain,0.0,0.0,0.0,3.0
ABLATE_stanza_scheme,sestina,0.0,0.0,0.0,0.0
