Experiment,Accuracy,Macro_F1,Micro_F1,Weighted_F1
ABLATE_normalized_text,0.7319587628865979,0.5374516342435295,0.7319587628865979,0.7416927086229459
ABLATE_metrical_foot,0.7250859106529209,0.5252738752807123,0.7250859106529209,0.7339622018710945
ABLATE_average_syllable_count,0.7250859106529209,0.5250790236640267,0.7250859106529209,0.7343849263348089
ABLATE_line_count,0.7216494845360825,0.5216391375614676,0.7216494845360825,0.7311259710458989
FULL_MODEL,0.7216494845360825,0.5216391375614676,0.7216494845360825,0.7311259710458989
ABLATE_total_syllables,0.7216494845360825,0.5216391375614676,0.7216494845360825,0.7311259710458989
ABLATE_rhyme_scheme,0.7216494845360825,0.5209546055983094,0.7216494845360825,0.7301539714767391
WITHOUT_NUMERIC,0.7216494845360825,0.5202193864706668,0.7216494845360825,0.73165312307643
ABLATE_rhyme_scheme_per_stanza,0.718213058419244,0.5167695479533619,0.718213058419244,0.7276964954086167
ABLATE_stanza_scheme,0.6941580756013745,0.5163491100139368,0.6941580756013745,0.7061605256144133
ABLATE_metrical_foot_count,0.718213058419244,0.5099031892179857,0.718213058419244,0.7284163190906311
ABLATE_normalized_title,0.6941580756013745,0.5028853516614943,0.6941580756013745,0.7063838635630935
WITHOUT_CATEGORICAL,0.6151202749140894,0.48988958123717796,0.6151202749140894,0.6323435355110001
ABLATE_normalized_collection,0.7079037800687286,0.4878956535071643,0.7079037800687286,0.717514711768216
TEXT_ONLY,0.5979381443298969,0.47677714540787863,0.5979381443298969,0.619413180674868
ABLATE_author,0.6907216494845361,0.4534796238244514,0.6907216494845361,0.6972445392424064
CATEGORICAL_ONLY,0.6013745704467354,0.3038904343509597,0.6013745704467354,0.6070682598983207
WITHOUT_TEXT,0.6116838487972509,0.3027813481043028,0.6116838487972509,0.6127378220078455
NUMERIC_ONLY,0.49140893470790376,0.23000793106828352,0.49140893470790376,0.44090694355481164
