Experiment,Accuracy,Macro_F1,Micro_F1,Weighted_F1
ABLATE_average_syllable_count,0.7285223367697594,0.5268610840664937,0.7285223367697594,0.7362844448764263
ABLATE_line_count,0.7285223367697594,0.524755794719825,0.7285223367697594,0.7356824966278375
FULL_MODEL,0.7285223367697594,0.524755794719825,0.7285223367697594,0.7356824966278375
ABLATE_total_syllables,0.7285223367697594,0.524755794719825,0.7285223367697594,0.7356824966278375
ABLATE_rhyme_scheme_per_stanza,0.7285223367697594,0.5232430374701553,0.7285223367697594,0.736285733760811
WITHOUT_NUMERIC,0.7250859106529209,0.5228695198615295,0.7250859106529209,0.7338111407949421
ABLATE_rhyme_scheme,0.7216494845360825,0.5177246294458572,0.7216494845360825,0.7295539476530276
ABLATE_stanza_scheme,0.718213058419244,0.5159559445590898,0.718213058419244,0.7232600176384568
ABLATE_metrical_foot_count,0.718213058419244,0.5092721870356433,0.718213058419244,0.7261342290711998
ABLATE_normalized_text,0.7250859106529209,0.5044322854267075,0.7250859106529209,0.7344864030824115
ABLATE_normalized_collection,0.7216494845360825,0.4957948457773073,0.7216494845360825,0.729771480524716
WITHOUT_CATEGORICAL,0.6460481099656358,0.48713021899916914,0.6460481099656358,0.6547986624557773
ABLATE_metrical_foot,0.7285223367697594,0.48402367387679274,0.7285223367697594,0.735986776447062
TEXT_ONLY,0.6219931271477663,0.476210672885121,0.6219931271477663,0.6321053133825646
ABLATE_normalized_title,0.7044673539518901,0.470455114158983,0.7044673539518901,0.7153577951950936
ABLATE_author,0.7044673539518901,0.4518926075038735,0.7044673539518901,0.707342239427187
WITHOUT_TEXT,0.6219931271477663,0.30573353453919366,0.6219931271477663,0.6207250090144015
CATEGORICAL_ONLY,0.6185567010309279,0.2853964890885421,0.6185567010309279,0.6172337702528186
NUMERIC_ONLY,0.49828178694158076,0.23789658927367083,0.49828178694158076,0.44640356221421756
