,precision,recall,f1-score,support
ballad,0.5,0.5,0.5,14.0
blank verse,0.2727272727272727,0.42857142857142855,0.3333333333333333,7.0
common measure,0.42857142857142855,0.6666666666666666,0.5217391304347826,9.0
couplet,0.75,0.6486486486486487,0.6956521739130435,74.0
free verse,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
haiku,0.8,1.0,0.8888888888888888,4.0
limerick,0.0,0.0,0.0,1.0
pantoum,0.0,0.0,0.0,1.0
quatrain,1.0,0.6666666666666666,0.8,3.0
sonnet,0.990990990990991,0.9243697478991597,0.9565217391304348,119.0
unfixed,0.40350877192982454,0.5,0.44660194174757284,46.0
accuracy,0.7319587628865979,0.7319587628865979,0.7319587628865979,0.7319587628865979
macro avg,0.5377299303136623,0.554923084334849,0.5374516342435295,291.0
weighted avg,0.7592974749241705,0.7319587628865979,0.7416927086229459,291.0
