,precision,recall,f1-score,support
ballad,0.4,0.42857142857142855,0.41379310344827586,14.0
blank verse,0.2727272727272727,0.42857142857142855,0.3333333333333333,7.0
common measure,0.45454545454545453,0.5555555555555556,0.5,9.0
couplet,0.7384615384615385,0.6486486486486487,0.6906474820143885,74.0
free verse,0.8181818181818182,0.6923076923076923,0.75,13.0
haiku,0.8,1.0,0.8888888888888888,4.0
limerick,0.0,0.0,0.0,1.0
pantoum,0.0,0.0,0.0,1.0
quatrain,1.0,0.6666666666666666,0.8,3.0
sonnet,0.9736842105263158,0.9327731092436975,0.9527896995708155,119.0
unfixed,0.42105263157894735,0.5217391304347826,0.46601941747572817,46.0
accuracy,0.7285223367697594,0.7285223367697594,0.7285223367697594,0.7285223367697594
macro avg,0.5344229932746679,0.5340757872727182,0.5268610840664937,291.0
weighted avg,0.7502383490989026,0.7285223367697594,0.7362844448764263,291.0
